"Portugues";"Kikongo"
"amigavelmente";"Kikundi kyambote "
"amigo";"nkundi"
"amigos";"Akundi"
"amizade";"kikundi "
"amolecimento";"fu kya yoyisa"
"amolentar";"zezesa, Wombesa"
"amolgar";"badikisa"
"amontoar";"wongeka"
"amor";"nzola"
"amoroso";"nzodi"
"amortecer";"lebeka"
"amortecido";"alembikwa"
"amostra";"lusongu"
"amparar";"avuvama"
"amparo";"avuvama"
"ampliar";"vongesa"
"amplitude";"Lusavulu, Luwalumuka"
"amplo";"yalumuna"
"amputação";"zenga"
"amputado";"wazengwa"
"amputar";"zenga"
"analfabeto";"masono"
"analisar";"yindula"
"analogia";"mpila a yindulula"
"análogo";"yindudi"
"ananás";"lalanzi"
"anão";"mbaka"
"anca";"luketu"
"ancião";"mbuta muntu"
"ancorar";"Nsotoka, Kudiyekeka"
"andador";"nkangadi"
"andadura";"mpila a kangala"
"andamento";"mpila a kangalalu"
"andante";"kangala"
"andar";"kangala"
"andorinha";"vengya"
"anedota";"kingana, luvisulu"
"anel";"nluga a lembo"
"anelar";"nlembo a nlunga"
"anemia";"kondamenga"
"anexar";"bunda"
"angina";"nsumbuka"
"Angola";"Ngola"
"angústia";"mabanza"
"angustiar";"vana mabanza"
"animação";"yangidika"
"animal";"bulu"
"animar";"yangidika"
"ânimo";"luyangalalu"
"aniquilador";"mfwasi"
"aniquilar";"fwasa"
"aniversário";"luidulu"
"anjo";"wanzyo"
"anotar";"sonika"
"ano";"Mvu (pl- mimvu)"
"anoitecer";"mpipa"
"anónimo";"kondwa nkumbu"
"anormal";"kya kondwa sikididi"
"ânsia";"vingila"
"ansiedade";"vingila"
"ansioso";"mvigidi"
"antecedência";"kya vyoka"
"antecedente";"vyoka"
"anteceder";"Twamina vita"
"antecipação";"Vitisa"
"antecipar";"Vitisa,  Vita,  Twamina"
"anteontem";"ma zuzi"
"anterior";"anima"
"antigo";"ntama, nkulu"
"antigo testamento";"Nkanda  ankulu"
"antiguidade";"Ankulu nkulu, Kinza nkulu"
"antilope";"Nkayi, Valangi"
"antipatia";"lukemenu"
"antipático";"Wazembwa"
"anual";"kya mvu"
"anuciar";"samuna"
"anulação";"katula"
"anulador";"nkatudi"
"anular";"katula"
"anúncio";"nsamu, nsangu"
"ânus";"funi"
"anzol";"luvaku"
"ao";"Kuna kwa"
"apagado";"kyazima,  Kyavunzumwa"
"apagador";"kya zimina, kya kungunina"
"apagar";"zima,Kunguna,  Kusuna"
"apagar-se";"Kudizima, Kidivunzuna"
"apaixonado";"Wazola"
"apalpar";"Babata"
"apanhador";"Mbaki"
"apanhar";"baka,tota, nona"
"aparecer";"Moneka"
"aparecimento";"fu kya monekena"
"aparelho";"Sadilwa"
"aparência";"fwaniswa,Lufwananu,  Nfwanana"
"aparente";"kya fwanana"
"apartamento";"Nzo"
"apavorar";"bwemesa"
"apaxionar";"Zola"
"apear";"nkangalu"
"apedrejador";"ntubi,nzuki"
"apedrejar";"tuba matadi"
"apegar";"fu"
"apelar";"Zayisa"
"apelido";"nkumbu,  Zina"
"apelo";"luzayisu"
"apenas";"kaka"
"aperfeiçoar";"Lungisa"
"aperfeiçoar-se";"kudilungisa"
"apertado";"kya batakana"
"apertão";"kya toma batakana"
"apertar";"bweta"
"aperto";"Mpila bweta"
"aplaudir";"Sanisa, Kembesa"
"aplauso";"Sanisa, Kembesa"
"aplicação";"fu kya vanga"
"apocalipse";"lusengomono"
"apodrecer";"Wola"
"apodrecido";"Kya wola"
"apoiado";"Kya sadiswa"
"apoiar";"sadisa"
"apoiar-se";"kudisadisa"
"apoio";"lusadisu"
"apontamento";"fu kya zayidila"
"apontar";"songa, songela, songelela"
"após";"kunima, yibosi"
"aposentação";"luvundu"
"aposento";"vundilu"
"aposta";"fyata"
"apostar";"Fyata"
"apostolado";"nkanda"
"apóstolo";"Ntumwa,nlandi"
"apresentar";"Sunzula, Songa, Songela"
"apresentar-se";"kudisonga, kudisunzula"
"apressadamente";"kyanswalu, Swalu"
"apressado";"Wanswalu, Wazabuka"
"apressar";"Nswalu, Nzanki, Zabuka"
"apressar-se";"kuditwasa, kudizabula"
"aprisionar";"Kanga"
"aprofundar";"nungunuka"
"aprontar";"manisa"
"apropriar";"a kyeleka "
"aprovação";"fu kya lunga"
"aprovar";"Tonda,Tambudila, Nungisa"
"aproveitar";"mfunu, baka"
"aprovisionar";"teza"
"aproximação";"Lufinamu, Mbatakani"
"aproximadamente";"finamina"
"aproximar";"Finama, fitakana"
"aproximar-se";"Finama"
"aprumar";"lenga"
"aprumo";"singama"
"aptidão";"ambote"
"apupar";"nkololo"
"apupo";"nkololo"
"apurador";"ntondi"
"apurar";"tonda"
"apurar-se";"kuditonda"
"aquático";"kya maza"
"aquecer";"Yandula, Teleka "
"aquecimento";"kyungula"
"aquela";"kina"
"aquele";"kina"
"aquém";"kwanani"
"aqui";"Ovava"
"aquilo";"ekiina"
"aquisição";"Sumba"
"aquitar-se";"ngwizani"
"ar";"lunga, mpeveleka"
"arame";"lunsinga"
"aranha";"Sangangungu"
"aranheira";"Wanda wa sangagugu"
"arbitrar";"Vovesa"
"arbitrio";"kyoso kyoso"
"árbitro";"Kimbila "
"arbritrario";"kyoso kyoso"
"arbusto";"kimvuka kya mvuma"
"arca";"nzaza"
"arcanjo";"Mbansi"
"arco";"nkongolo"
"arco-íris";"Nkongolo"
"ardente";"kya yama"
"arder";"yama"
"ardido";"yama"
"ardimento";"fu kya yama"
"areal";"fuka dya zyelo, fuka dya nsyenge"
"arear";"vuka zyelo, vuka nsyenge"
"areia";"Zyelo, nsyenge "
"arejar";"fu kya nzinzi"
"arena";"lusakanenu, Ntanda asiwesenge"
"arenoso";"Kyamurru, Fulu kya senge"
"argila";"Ntoto"
"argola";"lungongo"
"argumentador";"mpovi"
"argumentar";"vova"
"argumento";"mvovo"
"arial";"Kyamvu"
"árido";"Kyakola,  Akolokosa"
"aritmética";"Ntalu"
"arma";"Nkele"
"armação";"kya kubikwa"
"armadilha";"ntambu"
"armador";"nleke"
"armadura";"kya kubikwa"
"armamento";"minkele, mata"
"armar";"leka  "
"armário";"Lundilu"
"armar-se";"Kudisingika"
"armazém";"Lundilu"
"armazenar";"Lunda"
"aro";"nkongolo"
"aroma";"nsunga"
"arqueado";"kya fumbama"
"arquear";"fumbama"
"arquejar";"Papumuka"
"arquipélago";"sanga kya ntoto vandambu a maza"
"arquitecto";"Ntungi"
"arquivar";"lunda"
"arquivo";"kya lundwa"
"arrancado";"kya vuzwa"
"arrancar";"vuza"
"arranhador";"nkwati"
"arranhadura";"Lukwatu"
"arranhar";"kwata"
"arranjador";"mvani"
"arranjar";"vanga"
"arranjo";"kya vangwa"
"arrasador";"mfwasi"
"arrasar";"fwatikisa"
"arrastador";"nkoki"
"arrastar";"koka"
"arrear";"zezisa"
"arrebatamento";"fu kya vuza"
"arrebatar";"vuza"
"arrebentar";"buka"
"arrebitar";"fitika"
"arrecadação";"fu kya tambula"
"arrecadador";"ntambudi"
"arrecadar";"tambula"
"arredar";"zyetisa nsinga"
"arredondado";"kya vinzumuka"
"arredondar";"vinzumuka"
"arredores";"mu dambu"
"arrefecer";"Zizika, zizama"
"arregaçar";"tunta, bundika ku tandu"
"arremendar";"londa"
"arremendo";"temba"
"arremesar";"losa"
"arrendar";"sompeka"
"arrepender-se";"Kudiyindula"
"arrependimento";"fu kya yindula "
"arrepiar";"susumuka"
"arrepio";"susumuka"
"arriscar";"kasu"
"arrogância";"Lulendo"
"arrogante";"Nkwa lulendo "
"arrojado";"nkwa  wunkabu"
"arrojar";"wunkabu"
"arrombar";"wula"
"arrotar";"byoko"
"arroto";"byoko"
"arroz";"loso"
"arruinar";"Fwasa kesa"
"arrumação";"fu kya kubika"
"arrumador";"nkumbiki"
"arrumar";"kubika"
"artigo";"kima,  kekwa"
"artilharia";"nkele"
"artimanha";"mpila "
"artista";"mbangu"
"arvore";"nti"
"asa";"vela"
"asas";"mavela"
"ascendência";"Ntagu ya Nkulu"
"ascendente";"wantete"
"ascender";"ntete"
"asfixiar";"fyenga"
"asma";"nswengi"
"asmático";"nkwa swengi"
"aspecto";"mpila "
"áspero";"Kyabala,  Nkwakasi "
"aspiração";"fu kya fiba"
"aspirante";"Lokokela "
"aspirar";"fiba"
"assador";"yoki"
"assadura";"Yokilu"
"assaltar";"yiba"
"assalto";"yiba"
"assar";"yoka"
"assassinar";"lweka"
"assassinato";"fu kya lweka"
"assassino";"mvodi"
"asseado";"mveledi"
"assegurar";"kya simbwa"
"assegurar-se";"kudisimba"
"asseio";"luvelelu"
"assembleia";"nzo ya lukutakanu"
"assemelhar-se";"kudifwananesa"
"assento";"kunda"
"assim";"mpila yayi"
"assim como";"mpila yayi"
"assimilar";"lunda"
"assinalar";"tula sisu"
"assinar";"soneka"
"assinatura";"masonama"
"assistência";"lusadisu"
"assistir";"tala"
"assobiar";"mumpyosi"
"assobio";"mumpyosi"
"associação";"kimvuka"
"associar";"bundikisa"
"assolar";"bwisa"
"assombrar";"vanga vwiti"
"assunto";"dyambu"
"assuntos";"mambu"
"assustador";"nsusumuki "
"assustar";"susumuka"
"assustar-se";"kudisusumuna"
"astro";"ntetembwa, Mbwetete "
"astúcia";"mpila luvunu"
"astuto";"Nkwa ngangu "
"atacar";"Nwamisa "
"atado";"kya kangwa"
"atador";"nsinga nsapatu"
"atalhar";"zenga"
"atalho";"nzila swa"
"ataque";"nwanisa "
"atar";"kanga"
"ataviar";"tomisa"
"até";"ye"
"até agora";"tuka wawu"
"ate logo";"se nkokela kaka"
"até manha";"Mbazi kaka "
"atenção";"keba"
"atencioso";"nkwa nkeba"
"atender";"sadisa"
"atentar";"fwasa"
"atento";"Ndwenga "
"atenuar";"Kevesa,  Bukwila,  Vwakika"
"aterrar";"kulumuka"
"aterrorizar";"Mwesa wonga "
"atestar";"za disa"
"ateu";"lembi kwikila mu Nzmbi"
"atiçar";"Bangika "
"atinar";"lenda"
"atingir";"lunga"
"atirado";"kya katulwa"
"atirador";"nkongo"
"atirar";"Tuba, Vikimika"
"atitude";"fu"
"atleta";"mbudi"
"atmosfera";"wunga"
"atolar-se";"kudibatikisa"
"atómico";"Lekwa kya kindu"
"átomo";"Lekwa kya kete"
"atormentar";"Mwesa wonga "
"atracção";"fu kya tunta"
"atractivo";"ntuti, aniki"
"atraiçoar";"wezi"
"atraido";"tuntwa"
"atrair";"tunta"
"atrapalhação";"vila kesa"
"atrapalhar";"vilakesa"
"atrapalhar-se";"kudi vilakesa"
"atrás";"kunima"
"atrasado";"sukinina"
"atrasar";"sukinina"
"atraso";"sukinina"
"atraves (de)";"mudyambu dya…"
"atravessado";"kya kambama"
"atravessar";"kambika"
"atropelar";"Dyata"
"atum";"nzonzi"
"aturar";"zizila"
"audição";"Fu kya wila"
"audiência";"moko"
"auditorio";"Fulu kya wila "
"aula";"malongi"
"aumentar";"kudikila"
"aumento";"Nkudika"
"aurora";"Mvunguka,  Lukyelu,  Menemene"
"ausência";"Konda"
"ausentar-se";"Kudikatula"
"ausente";"Konda"
"autenticar";"tonda"
"automovel";"kumbi"
"autópsia";"lupasulu"
"autor";"ntu"
"autoridade";"mfumu"
"autorização";"fu kya vana nswa"
"autorizar";"nswa"
"auxiliar";"sadisi"
"auxílio";"lusadisu"
"avaliação";"fu kya fimpa"
"avaliar";"fimpa"
"avançado";"kyantwala"
"avançar";"kuntwala"
"avenida";"nzila nene"
"avental";"nkutu"
"aventura";"Susi "
"aventurar";"vanga susi"
"aventureiro";"nkwa susi"
"averbar";"vana swa"
"avermelhado";"kya menga"
"avesso";"mpiluka"
"avestruz";"Nuni a mpwena "
"avião";"Kumbi dya zulu"
"avisar";"Lukisa, Zayisa "
"aviso";"Lusayisu"
"avistar";"kimona mesu"
"avizinhar";"mfitakani"
"avó";"Nkaka a nkento"
"avô";"Nkaka ya kala"
"avolumar";"vanga bya yingi"
"axila";"mpakanya"
"azagaia";"dyunga"
"azar";"yindu"
"azedar";"Sasisa, wanisa"
"azedo";"Kyasasa"
"azeite";"Mazi"
"azeitona";"Bundu"
"azia";"fisi a meno"
"azul";"Kyazulu "
"azuleijo";"Matadi manlelumuki"
"Badalada";"nkinzi"
"Bafo ";"nsudi a nwa"
"Bagagem ";"funda"
"Bagatela ";"kima kya mbote"
"Bago";"lubongo"
"Bagre";"ngola"
"Baía";"kumu dya kalunga"
"Baiano";"nkwa kumu"
"Baile";"Makino"
"Bainha";"nfitu a nkikutu"
"Bairro";"mbanza"
"Baixar";"kulula"
"Baixar de nivel ";"kulula"
"Baixo ";"kuluka"
"Balançar";"nikuzuka"
"Balançar-se";"kudi nikuna"
"Balão";"Badi "
"Balcão";"tandabala"
"Balde ";"katinu"
"Baleia ";"Nzonzi a nene"
"Baliza";"kakilu"
"Balouçar-se";"kudizwedisa"
"Balouço";"kinzwenzwe"
"Balsamo";"matalatumbu"
"Bambú";"bungu"
"Banalidade";"Kima kya nkatu."
"Banana";"Dikondo"
"Bananal";"kya makondo"
"Banca";"wolomani"
"Banco(acento) ";"Kunda"
"Banco(instituição financeira) ";"nzo ya ludila nzimbu"
"Banda de música";"buka kya asiki"
"Bandeira";"Dimbo kya nsi"
"Bandeja";"longa"
"Bandido";"Kimpumbulu"
"Bando ";"Buka kya wantu"
"Banha";"mazi"
"Banhar";"yowela, Yola "
"Banho ";"yola,Sakula "
"Baptismo";"luvungilu"
"Baptizado";"wavungwa"
"Baptizar";"vunga"
"Baralhar";"fwatikisa"
"Barata ";"Mpese "
"Barato";"kyakuluka"
"Barba";"Nzevo"
"Barbaridade";"mambi"
"Barbaro";"ambi"
"Barbatana";"sala sala"
"barbear";"Katula nzevo "
"Barbear-se";"Kudikatula nzevo "
"Barbeiro";"Nzengi ya zevo "
"Barbudo";"Nkwanzevo "
"Barco ";"Nlungu"
"Barra";"kakilu"
"Barraca";"sudi"
"Barracamento";"sudi ya yingi"
"Barracão";"sudi kya nene"
"Barraco";"sudi"
"Barrar";"kaka"
"Barreira";"Nkakilu"
"Barriga";"vumu"
"Barrigudo";"vumu kya nene"
"Barril";"Ndungu"
"Barro";"zyelo"
"Barroca";"sudi"
"Barrote";"baya dya nene"
"Barulhar";"tula mazu"
"Barulho";"mazu"
"Base";"yatika"
"Base principal";"yatika kwa singama"
"Basta ";"yimene"
"Bastante";"yayingi"
"Batalha ";"nwana"
"Batalhar";"Nwana"
"Batata";"vuta"
"Batata cara";"mavuta mantalu"
"Bater ";"wanda, bula"
"Bater a porta";"konkotila"
"Bater as asas";"wanda mavela, bula makonzo"
"Bater palmas";"wanda makonzo, bula makonzo"
"Batido";"wawandwa"
"Batota ";"luvunu"
"Batotar";"vuna"
"Batuque";"ngoma "
"Baú";"nkela"
"Bêbado";"Nkolwa"
"Bebé";"nsedya"
"Bebedeira";"Nkolwa "
"Bebedor";"nwe"
"Bebedouro";"nwinu"
"Beber";"nwa"
"Bebida";"Malavu "
"Beiço";"nzumbu"
"Beiçudo";"nzumbu a nene"
"Beijar";"fiba"
"Beijo ";"mfibu"
"Beira";"mundambu"
"Beira-mar  ";"mundambu a kalunga"
"Beleza ";"ambote"
"Beliscar";"zyotona"
"Belo";"wambote"
"Bem";"Mbote, Kyambote "
"Bem estar ";"kala kya mbote"
"Bem-aventurado";"nsambuka,Nkwa nsambu "
"Benção";"nsambu "
"Bendito";"nsambulwa"
"Bendizer";"vova kya mbote"
"Beneficiar";"baka nluta"
"Beneficio";"nluta"
"Benevolencia";"kya lembama"
"Benfazer";"vanga mbote "
"Benfeitor";"mvangi a mawete"
"Bengala";"vwala"
"Benígno";"walakazi"
"Bens";"mawete "
"Benvindo ";"ngiza mbote"
"Benzer";"nsabula  "
"Berço";"fulu kya mwana"
"Beringela";"mbalongwa "
"Berrar";"boka"
"Besta";"Bulu kya mbi"
"Bexiga";"butamu"
"Bezerro";"mwana ngombe"
"Bíblia";"nkanda Nzambi"
"Biblioteca";"nzo a nkanda"
"Bicar";"zoza"
"Bicha";"nyoka za vumu"
"Bichinhos";"bulu kya fyoti fyoti"
"Bicho";"bulu"
"Bicicleta";"mvelu"
"Bico";"nsodya"
"Bicudo";"nsodya a nene"
"Bife";"yangwa"
"Bigode";"nzevu"
"Bilha";"fibadi"
"Bilhete";"nkanda kivwila"
"Biografia";"lusansu"
"Bisavo";"nkaka a se, nkaka a ngudi"
"Bisbilhotar";"fipa"
"Biscato";"kadyenga"
"Biscoito";"a nzenzi"
"Bisneto";"lundaduludya, mwana a ntekilu"
"Bispo";"nganga mbuta"
"Blasfemia";"Ntyanguna "
"Bloquear";"kaka"
"Blusa";"mbukuna, kikutu"
"Boa";"kya mbote"
"Boa disposição";"fu kyambote"
"Boa noite";"lunangini, fuku wa mbote"
"Boa pessoa";"muntu wa mbote"
"Boa tarde";"lunangini, kokila mbote"
"Boa viagem";"wenda kyambote."
"Boa-nova (evangelho)";"nsangu-zambote"
"Boas festas";"nkizi wa mbote"
